raw_vendor_name,normalized_vendor_name,snfei
COLLINS ENGINEERS INC,collins engineers incorporated,ce64bff45a77bdc7584c1b93be41869b07ff9e35431eeba23bd00b4aac077024
UNISOURCE,unisource,bca7ed2a10e09ebbc41175853683a6e18745d9e7039ab265c1a61372c80931ca
"MULLER & MULLER, LIMITED",muller & muller limited,f9891fa0c6764ffd765b9bbe87f0e63054b25bd847fa91e82c5adf2a5c166194
GRAEF-USA INC,graef-usa incorporated,e6eca9b30487a176f2068455733987f57f45233b029af3f8426bb73dd47d1c84
HNTB CORPORATION,hntb,1653f76981d649206df1bf87682132d5c018fbec10fa21451cc3085ecd97c908
STANLEY CONSULTANTS INC,stanley consultants incorporated,59b8daa0ab9d668482e882a6bcd05ea6b26234cc482e547d6107b22aaeb9f5fd
"KNIGHT E/A, INC.",knight e/a incorporated,bc8fe18b0b838a03f0a20ff60fe1744ee9b13181b7ffff0464468f9d4537a2e1
"INSPIRATION CORPORATION, CHICAGO",inspiration city of chicago,8fad76356f08aa54558126119b7ac866595f4f074bfad8e1c74796c5452f6cb3
"ROSSI CONTRACTORS, INC.",rossi contractors incorporated,7b476f240d2fff827599e70e59a0c2618e079d8ab89ae02a7e7ac5baf7406993
"CHICAGO UNITED INDUSTRIES, LIMITED",city of chicago united industries limited,dbc190523c13373aea79ba9138e969699c55a13eb279f0bb668fe6faa119d954
NORTHWEST SIDE HOUSING CENTER,northwest side housing center,3f6b62b75477797c73580d48d970c8974296eb28991044f6334bdc191d4342fa
TURNER-CONCRETE STRUCTURES-LINDAHL TRI VENTURE,turner-concrete structures-lindahl tri venture,d1af2ad9f58a9585c1b9ea026d38705e6b912c6746b02e6df690e92edf619f80
"YOUTH OUTREACH SERVICES, INC.",youth outreach services incorporated,7e8cb22494223fa3c21d51d083c2144457e220204cb3425342adb0f5a2946606
A SAFE HAVEN FOUNDATION,a safe haven foundation,0e384d5ba6980bf2a1f6e29889047af9a47d8319aa51f765a8dc51c0a216aa44
CHRISTOPHER BURKE,christopher burke,20bbdab1990699ba995df37db03ff78652fab949b99647db55fe194ebad77de2
8700 BUILDING LLC,8700 building limited liability,7e2f7351bf49075083b2510e0432222aa252aa48811701950c6420e51e858eb1
COALITION OF LIMITED ENGLISH SPEAKING ELDERLY,coalition of limited english speaking elderly,3a846f8adbdd5d6e5d1bea8fda7f3ae71d806d835c27e0925d2c3abb5bd275f3
MEGA GROUP,mega group,ffebcee1f625698871647a1c6e87178e6ff18cbf522ddd13ad47cbeae327f20a
GRAND ALBANY PROPERTIES LLC,grand albany properties limited liability,67b339117e01ecc584f4e987c7c8dd985b408a678c704ab2b4ca2965d8622bfc
MEGA GROUP,mega group,ffebcee1f625698871647a1c6e87178e6ff18cbf522ddd13ad47cbeae327f20a
"SUMIT CONSTRUCTION CO., INC.",sumit construction co. incorporated,dbf5d8c5a25b56c4670a2ff1b6e7f611015ff463b0d11d9ec2505d5ee8c2302a
8700 BUILDING LLC,8700 building limited liability,7e2f7351bf49075083b2510e0432222aa252aa48811701950c6420e51e858eb1
"SUMIT CONSTRUCTION CO., INC.",sumit construction co. incorporated,dbf5d8c5a25b56c4670a2ff1b6e7f611015ff463b0d11d9ec2505d5ee8c2302a
"SUMIT CONSTRUCTION CO., INC.",sumit construction co. incorporated,dbf5d8c5a25b56c4670a2ff1b6e7f611015ff463b0d11d9ec2505d5ee8c2302a
JOEL KENNEDY CONSTRUCTING CORP,joel kennedy constructing,513b46c6fb88e4e1d79591ee1bd8a5267fe1c3bc4c88b202f277935766d71b90
CHICAGO HOUSE & SOCIAL SERVICE AGENCY,city of chicago house & social service agency,56f518ff0104e2e6095d3b8a47aae79a1af65882449f5a67deb2c7c5b57e4138
BLACKMAN KALLICK BARTELSTEIN,blackman kallick bartelstein,df648fc1b50eb70c9d5a7609ed1d3f1781ea03e40778bfddc84d9a967e1622b0
"M & G GRAPHICS, INC.",m & g graphics incorporated,6bdc3bc37288d11a880cb3a0b60f248809a921340c046b70ba7ffce196909b4c
CJF1 LLC JP MORGAN CHASE BANK,cjf1 limited liability jp morgan chase bank,5f66959e4954b2390842cfbe1aa658a537046509639711bd3f324d81643c871f
J P SIMONS & COMPANY,j p simons &,777830def2da3b9b3fa8cc3cc7d0160ca6bba1fc95270d325fbcdc75ddff3dab
"SEI COATINGS, LLC",sei coatings limited liability,c0f7e4b689533c3e99794e48f1fdd1fa62a559025dc716c02b3ac875cf51b892
BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS,board of trustees of university. of state of illinois,cb916e016ea5952621b42615a0c31a2aba4569ce2b152ab0371cdd112780ce2a
"OPEN KITCHENS, INC.",open kitchens incorporated,f54361f71eb222f27314acf772c9f42270614cd7d27ad15b4f6247c03705da56
R. R. BOWKER LLC,r. r. bowker limited liability,0aaa124763588696aefe0c3b9716f90714708a139c0e71daadbc6250abba84f6
LAKEVIEW DEVELOPMENT.CENTER DBA STEPPING INTO THE FUTURE,lakeview development.center doing business as stepping into future,7728c6d7eca7b01fbd7811f8ddaaf8a79b88330e1175d1ac0f5358ac3d4b6f54
"Ogden Avenue Materials, Inc",ogden avenue materials incorporated,8dbb51deffc46f99fbf9084faf977620d3630df1cbd06e8fef49d62c2c774175
"LINDAHL BROTHERS, INC.",lindahl brothers incorporated,792984f57bed340ddd9d630af7488692869edbd645c49a2e54c9475017132a7c
UNISOURCE 01,unisource,bca7ed2a10e09ebbc41175853683a6e18745d9e7039ab265c1a61372c80931ca
ZEPEDA CONSTRUCTION SERVICES,zepeda construction services,5d3c7b2f099701ef8db175d830ae2463d8be6f831be9fe216bc6b3b79378df76
GRAND ALBANY PROPERTIES LLC,grand albany properties limited liability,67b339117e01ecc584f4e987c7c8dd985b408a678c704ab2b4ca2965d8622bfc
JONES & CLEARY ROOFING COMPANY INC,jones & cleary roofing incorporated,29eb22215d852192d043e36586f7c8571195526ce50c787c68c2dad7f96355c4
